CVE_AGEB,ENT,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,POB_TOTAL,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC,IM_2020,GM_2020,IMN_2020,Mult,Index_Prop,Index_Prop_norm,num_def,Aire,Agua,Suelo,UM_n,aire,agua,suelo,contaminacion_total,aire_total,agua_total,suelo_total,mast_n,mast_norm,Indice_RC,Indice_RC_NORM,Etiquetas_RiesgoC
2402800010581,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0581,1567,1.829268293,13.65313653,18.13537676,0.0,0.0,0.0,0.255918106,1.471529111,16.31477927,10.55662188,4.990403071,124.2036276,Muy bajo,0.970232168,1520.353807256,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43363786821129874,0.07351228336750522,Medio
2402800010596,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0596,970,7.82122905,20.72213501,20.10362694,0.931677019,0.310559006,0.621118012,4.347826087,13.2505176,68.73706004,5.175983437,23.91752577,120.194494,Medio,0.93891432,910.7468904,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4362081679797496,0.13260741286859198,Alto
2402800010609,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0609,2007,9.550561798,16.5704388,15.67648527,0.0,0.051599587,0.103199174,0.103199174,1.341589267,17.750258,7.327141383,4.592363261,123.0218296,Bajo,0.961000405,1928.727812835,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4344972427517212,0.0932706206554591,Medio
2402800010717,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0717,3313,4.619565217,22.77913774,21.25075896,0.0,0.0,0.0,0.583538084,1.474201474,24.75429975,7.524570025,8.108108108,122.8499751,Bajo,0.959657942,3179.346761846,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43461332650260676,0.09593956393427709,Medio
2402800010740,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0740,2070,9.747292419,25.09433962,21.74338883,0.0,0.098183603,0.29455081,0.441826215,6.136475209,43.59351988,9.229258714,12.61659303,120.9371284,Medio,0.944715501,1955.56108707,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4357938490395934,0.1230815856776101,Alto
2402800010755,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0755,2957,5.163043478,28.36010144,19.30777061,0.067911715,0.169779287,0.169779287,0.271646859,5.636672326,38.88321416,10.45284304,17.99660441,121.5512476,Bajo,0.94951277,2807.70926089,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.435434492779894,0.11481943471583266,Alto
2402800010793,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0793,3252,5.389221557,18.3008982,15.24220919,0.0,0.0,0.123685838,1.793444651,1.948051948,24.05689549,4.700061843,11.25541126,123.4165087,Bajo,0.964083491,3135.199512732,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4342228363528112,0.08696159714055413,Medio
2402800010844,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0844,5363,7.202216066,32.78355484,18.86686612,0.0,0.0,0.0,1.54937465,3.901437372,35.56219649,11.57364196,17.99514654,120.9403837,Medio,0.94474093,5066.6456075900005,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43579198623744475,0.12303875700230917,Alto
2402800010859,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0859,3901,8.289241623,27.11748634,20.19502181,0.0,0.077841204,0.700570835,3.946002077,6.123508044,36.56193197,9.574468085,19.74571873,120.6614833,Medio,0.942562265,3676.9353957649996,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4359500597604865,0.12667310947337357,Alto
2402800010863,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0863,6436,5.357142857,29.34119561,22.87765293,0.0,0.0,0.407331976,1.60025102,3.430988563,33.37513717,7.707974307,18.58060473,121.484107,Bajo,0.948988292,6107.688647312,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43547458888269663,0.11574130554844737,Alto
2402800010878,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0878,4541,6.129032258,32.83821491,17.96737213,0.0,0.044752741,0.0,1.700604162,5.415081674,33.02752294,9.800850302,18.48288208,121.2320842,Bajo,0.947019585,4300.415935485,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4356232866708536,0.1191600955104279,Alto
